ID,SubCat1_ID,Subcatagoria2
1,1,Aceites
2,1,Aderezos
3,1,Crema para Ensalada
4,1,Ingredientes Adicionales para Ensaladas
5,1,Sprays de Cocina
6,1,Vinagres
7,1,Otros
8,2,Arroces
9,2,Integrales
10,2,Frijoles Secos
11,2,Pastas y Fideos
12,2,Sagos
13,2,Cuscus
14,2,Mochi
15,2,Otros
16,3,Chocolates
17,3,Dulces y Chicles
18,3,Frutas Secas y Vegetales Deshidratados
19,3,Mezcla para Fiestas
20,3,Nueces y Semillas
21,3,Palomitas
22,3,Papas Fritas
23,3,Snacks
24,3,Surtidos de Frutos Secos
25,3,Otros
26,4,Aguas
27,4,Bebidas con Sabor a Fruta
28,4,Bebidas Energeticas
29,4,Bebidas para Deportistas
30,4,Cafe
31,4,Cafe Frio y Te Frio
32,4,Chocolate Caliente y Malteadas
33,4,Crema
34,4,Gaseosa de Jengibre y Cerveza
35,4,Jarabes y Concentrados para Bebidas
36,4,Jugos
37,4,Mezclas para Cocktail
38,4,Mezclas y Saborizantes de Bebidas
39,4,Refrescos con Gas
40,4,Sustitutos de Cafe
41,4,Te
42,4,Otros
43,5,Avenas y Gachas
44,5,Barritas
45,5,Barritas y Granola
46,5,Cereales de Alta Fibra
47,5,Cereales de Arroz
48,5,Cereales de Trigo
49,5,Cereales para Ninhos
50,5,Cereales para Tomar en Frio
51,5,Gachas de Maiz
52,5,Muesli y Cereales Granola
53,5,Otros
54,6,Bebidas y Cocteles Premezclados
55,6,Cervezas
56,6,Bebidas Espiritosas
57,6,Sakes y Licores de Arroz
58,6,Sidras
59,6,Vinos
60,6,Vinos Espumosos y Champanes
61,6,Vinos Fortificados y de Postre
62,6,Otros
63,7,Caldos
64,7,"Carnes, Pescados y Mariscos"
65,7,Comida Encurtida
66,7,Comidas y Guarniciones Preparadas
67,7,Condimentos Encurtidos
68,7,Fruta
69,7,Legumbres
70,7,Pasta Enlatada
71,7,Sopas
72,7,Sustitutos de Carne
73,7,Verduras
74,7,Otros
75,8,Bebidas y Batidos
76,8,Cereales y Gachas de Avena
77,8,Comidas Preparadas y Acompanhamientos
78,8,Formula
79,8,"Snacks, Refrigerios y Galletas"
80,8,Otros
81,9,Especias y Condimentos en Polvo
82,9,Especias y Hierbas Sin Moler
83,9,Pimientas
84,9,Sal y Sustitutos
85,9,Sasonadores
86,9,Otros
87,10,Destilacion de Vino
88,10,Fabricacion de Cerveza
89,10,Otros
90,11,"Aceites, Vinagres y Aerosoles de Cocina"
91,11,Algas Secas y Noris
92,11,Espesantes
93,11,Frutas Secas y Vegetales Deshidratados
94,11,Ingredientes para Reposteria
95,11,Leche y Crema de Coco
96,11,Levadura Nutritiva
97,11,Manteca y Grasa Alimentaria
98,11,Pan Molido
99,11,Pescados y Mariscos Secos
100,11,Sustitutos del Huevo
101,11,Vinos para Cocinar
102,11,Otros
103,12,Chocolate y Avellanas Cubiertas
104,12,Chocolates para Untar
105,12,Cubierta de Extracto de Levadura
106,12,Cubierta de Malvavisco
107,12,Fruta para Untar
108,12,Mantequilla de Maple
109,12,Mantequillas a Base de Frutos Secos
110,12,Requeson
111,12,Salsas para Untar
112,12,Otros
113,13,Pan Crujiente
114,13,Tortillas
115,13,Otros
116,14,Crema
117,14,Cremas de Cafe a base de Plantas
118,14,Leche
119,14,Leche a base de Plantas
120,14,Leche Saborizada
121,14,Otros
122,15,Condimentos
123,15,Glaces y Demi-Glaces
124,15,Glaseados
125,15,Salsas Gravy
126,15,Salsas para Cocinar
127,15,Salsas Picantes
128,15,Wasabi
129,15,Otros
130,16,Otros
131,17,Accesorios Exteriores
132,17,Accesorios para Caja de Pick Up
133,17,Adaptadores de entrada
134,17,Almacenamiento y Organizacion
135,17,Aromatizantes
136,17,Asistencia en el Camino
137,17,Calcomanias y Emblemas
138,17,Carcasas para Llaves
139,17,Difusor de Aroma
140,17,Estribos y Escalones
141,17,Inversores de Corriente
142,17,Juegos de Interiores
143,17,Productos de Invierno
144,17,Productos de Traccion y Winches
145,17,Proteccion Antirrobo
146,17,Recipientes para Gasolina
147,17,Rejillas y Protectores para Rejillas
148,17,Repelentes Automotrices de Plagas
149,17,Sistemas y Accesorios de Carga
150,17,"Soportes, Cubreasientos y Fundas"
151,17,Tapetes y Alfombras
152,17,Termometros
153,17,Otros
154,18,Aceites
155,18,Aditivos
156,18,Anticongelantes para Frenos
157,18,Anticongelantes para Radiador
158,18,Liquidos para Diraccion Asistida
159,18,Liquidos de Servicio
160,18,Lubricantes
161,18,Otros
162,19,Adhesivos y Selladores
163,19,Cuidado del Motor
164,19,Kits de Limpieza
165,19,Limpieza de Ventanillas
166,19,Productos de Cuidado Exterior
167,19,Productos de Cuidado Interior
168,19,Otros
169,20,Compresores de Muelles
170,20,Equipo y Herramientas de Garaje
171,20,Equipo y Herramientas para Sistemas de Aceite
172,20,Extractores y Separadores
173,20,"Herramientas de Diagnostico, Escaneo y Especialidad"
174,20,Herramientas de Direccion y Suspension
175,20,Herramientas de Frenos
176,20,Herramientas de Llantas y Rines
177,20,Herramientas de Mano
178,20,Herramientas de Reparacion del Parachoques y Carroceria
179,20,Herramientas del Embrague
180,20,Herramientas del Limpiaparabrisas
181,20,Herramientas del Parabrisas
182,20,Herramientas del Sistema de Combustible
183,20,Herramientas para Baterias
184,20,Herramientas y Equipos de Aire Acondicionado
185,20,Herramientas y Equipos de Motor
186,20,Juegos de Herramientas
187,20,Kits de Reparacion de Roscas
188,20,Llaves de Impacto
189,20,Remachadoras
190,20,Otros
191,21,Accesorios
192,21,Herramientas de Neumaticos y Ruedas
193,21,Llantas
194,21,Rines
195,21,Ruedas
196,21,Otros
197,22,Accesorios y Piezas
198,22,Partes y Refacciones
199,22,Seguridad
200,22,Illuminacion
201,22,LLantas
202,22,Otros
203,23,Acondicionamiento Interior
204,23,Alternadores y Generadores
205,23,Arranque y Piezas del Motor
206,23,Cables
207,23,Correas y Tensores
208,23,Direccion y Suspension
209,23,Embellecedores y Accesorios para Carroceria
210,23,Encendido y Accesorios
211,23,Filtros
212,23,Frenos
213,23,Limpiaparabrisas y Partes
214,23,"Luces, Bombillas e Indicadores"
215,23,Motores
216,23,Motores y Piezas del Motor
217,23,Sensores
218,23,Sistemas de Escape Cat-Back
219,23,Tapas y Tapones
220,23,Traccion y Transmision
221,23,Otros
222,24,Pinturas en Spray
223,24,Pinturas en Acabado
224,24,Pistolas y Accesorios de Pintura
225,24,Aditivos
226,24,Cintas Adhesivas
227,24,Herramientas de Pintura
228,24,Lacas para Pinzas de Frenos
229,24,Materiales de Esmerilado
230,24,Materiales de Revestimiento
231,24,Materiales para Tareas de Pintura
232,24,Pinturas para Retoques
233,24,Primers
234,24,Productos de Limpieza
235,24,Proteccion para Tareas de Pintura
236,24,Rotuladores
237,24,Otros
238,25,Accesorios
239,25,Sillas de Coche
240,25,Otros
241,26,Canastillas y Portaequipajes
242,26,Bandas de Tension
243,26,Banderines de Seguridad
244,26,Cables y Adaptadores
245,26,Enganches de Remolque y Accesorios
246,26,Escaleras para Camioneta
247,26,Escaleras para Compuerta Trasera
248,26,Rampas de Carga
249,26,Remolques
250,26,Otros
251,27,Otros
252,28,Alfombras de Juego y Gimnasios
253,28,Andaderas
254,28,Centros de Actividades
255,28,Columpios Interiores
256,28,Libros Blandos
257,28,Moviles
258,28,Sillas Mecedoras
259,28,Otros
260,29,Accesorios de Ayuda para Aprender a ir al Banho
261,29,Asientos Reductores de WC
262,29,Bacinicas
263,29,Panhales Desechables Entrenadores
264,29,Toallitas Humedas
265,29,Toallitas Secas
266,29,Otros
267,30,Cambiadores de Panhales
268,30,Cambiadores de Panhales Termicos
269,30,Colchones y Cobijas para Cambiar Panhales
270,30,Contenedores y Repuestos de Panhales
271,30,Cremas para Rozaduras
272,30,Organizadores y Guardapanhales
273,30,Panhaleras
274,30,Panhales
275,30,Toallitas y Accesorios
276,30,Otros
277,31,Canastas para Bebes
278,31,Carriolas Deportivas
279,31,Coches de paseo
280,31,Conjunto de silla de coche y carrito
281,31,Piezas y Accesorios
282,31,Sillas de paseo
283,31,Otros
284,32,Accesorios para Chupones
285,32,Chupones
286,32,Mordederas
287,32,Otros
288,33,Banho
289,33,Basculas
290,33,Cuidado de la Piel
291,33,Cuidado para el Cabello
292,33,Higiene
293,33,Termometros
294,33,Toallitas y Accesorios
295,33,Tratamientos de Frio y Calor
296,33,Otros
297,34,Accesorios para la Lactancia
298,34,Alimentos para Bebes
299,34,Baberos y Panhos
300,34,Basculas de Cocina para Bebe
301,34,Biberones y Accesorios
302,34,Calentadores de Comida
303,34,Delantales para Ninhos
304,34,"Licuadoras, Procesadores de Alimentos y Prensas de Cocina"
305,34,Panhos de Muselina
306,34,Recipientes de Comida
307,34,"Sillas de Bebe, Asientos y Accesorios"
308,34,Vajilla y Cubiertos
309,34,Vasos Entrenadores
310,34,Otros
311,35,Accesorios de Portabebes
312,35,Cabestrillos Portabebes
313,35,Mochilas de Senderismo
314,35,Portabebes para Bebes y Ninhos pequenhos
315,35,Otros
316,36,Decoracion
317,36,Muebles
318,36,Ropa de Cama
319,36,Otros
320,37,Albumes de Fotos
321,37,Albumes de Recuerdos
322,37,Bebes Ninha
323,37,Bebes Ninho
324,37,Cajas de Recuerdos para Recien Nacidos
325,37,Calcomanias de Bebe a Bordo para el Coche
326,37,Joyeria
327,37,Juegos de Regalos para Recien Nacidos
328,37,Kits de Modelado e Impresion
329,37,Marcos de Fotos
330,37,Moviles
331,37,Recuerdos para Bautizos
332,37,Sobres para Tarjetas de Maternidad
333,37,Velas para Bautizos
334,37,Otros
335,38,Faldas
336,38,Lactancia
337,38,Leggings
338,38,Lenceria y Ropa Interior
339,38,Pantalones
340,38,Pantalones de Mezclilla
341,38,Playeras y Tops
342,38,Ropa Deportiva
343,38,Sueteres y Tejidos
344,38,Trajes de Banho
345,38,Vestidos
346,38,Otros
347,39,Arneses de Seguridad
348,39,Barandillas para Camas
349,39,Barreras de Puerta y Extensiones
350,39,Humidificadores
351,39,Monitor para Bebes
352,39,Monitores Fetales
353,39,Orejeras de Proteccion Auditiva
354,39,Pilas para Monitor para Bebes
355,39,Protecciones y Cerraduras
356,39,Seguridad y Protecciones para Cuartos de Banho
357,39,Otros
358,40,Accesorios
359,40,Sillas de Coche
360,40,Otros
361,41,Otros
362,42,Accesorios Banho y Cuerpo
363,42,Aditivos para el Banho
364,42,Desodorantes y Antitranspirantes
365,42,Exfoliantes y Tratamientos Corporales
366,42,Limpieza Personal
367,42,Sets
368,42,otros
369,43,Accesorios y Utensilios para Maquillaje
370,43,Cara
371,43,Cuerpo
372,43,Juegos de Maquillaje
373,43,Labios
374,43,Ojos
375,43,Paletas de Maquillaje
376,43,otros
377,44,Cara
378,44,Cuello y Escote
379,44,Cuerpo
380,44,Desmaquillantes
381,44,Exfoliantes y Tratamientos Corporales
382,44,Juegos y Kits
383,44,Labios
384,44,Manos y Pies
385,44,Maternidad
386,44,Ojos
387,44,Sol
388,44,otros
389,45,Accesorios para Peinarse
390,45,Aceites para el Cabello
391,45,Champu y Acondicionador
392,45,"Extensiones de Cabello, Pelucas y Accesorios"
393,45,Herramientas de Peinado
394,45,Instrumentos para Corte de Pelo
395,45,Mascarillas para el Cabello
396,45,Permanentes y Texturizantes para el Cabello
397,45,Productos para la Caida del Cabello
398,45,Productos para Peinar
399,45,Set de Viaje
400,45,Sets y Kits
401,45,Tintes para el Cabello
402,45,Tratamientos de Cuero Cabelludo
403,45,Otros
404,46,Bolsas y Cajas de Herramientas
405,46,Calentadores de Toallas para Spa
406,46,Capas
407,46,Carritos de Mantenimiento
408,46,Casco Secador
409,46,Cepillos de Cuello
410,46,Escobas y Cepillos
411,46,Espejos de Mano
412,46,Frascos Atomizadores
413,46,Lavabos de Peluqueria
414,46,Maniquies de Aprendizaje
415,46,Maquinas Galvanicas
416,46,Maquinas de Alta Frecuencia
417,46,Mesas de Spa
418,46,Sillas de Barbero
419,46,Sistemas de Almacenamiento para Spa
420,46,Taburetes de Salon y Spa
421,46,Otros
422,47,Cuidado de las Manos y los Pies
423,47,Disenhos para Unhas
424,47,Quitaesmalte
425,47,Tratamientos para Unhas
426,47,Utensilios y Accesorios
427,47,Otros
428,48,Aceite Esencial de Rosa
429,48,Atomizadores
430,48,Hombres
431,48,Infantiles
432,48,Mujeres
433,48,Perfumes Solidos
434,48,Polvos con Fragancia
435,48,Sets
436,48,Velas y Esencias para el Hogar
437,48,Otros
438,49,Accesorios
439,49,Antes de Rasurarse y Depilarse
440,49,Depilacion
441,49,Despues de Rasurarse y Depilarse
442,49,Rasurado Manual
443,49,Rasuradoras Electricas
444,49,Recortadoras y Rasuradoras Corporales
445,49,Tijeras
446,49,Otros
447,50,Atomizadores
448,50,Bolitas y Almohadillas de Algodon
449,50,Bolsas y Estuches
450,50,Contenedores Rellenables
451,50,Herramientas para el Cuidado de la Piel
452,50,Kits de Belleza
453,50,Suministros para Piercings y Tatuajes
454,50,Utensilios y Accesorios para Maquillaje
455,50,Otros
456,51,Otros
457,52,Artes marciales mixtas
458,52,Bolsas para Equipo
459,52,Chandales
460,52,Equipo de Entrenamiento
461,52,Exhibidores para Cinturones
462,52,Jiu-jitsu
463,52,Judo
464,52,Karate
465,52,Kendo
466,52,Kickboxing
467,52,Kung Fu
468,52,Ninjutsu
469,52,Protecciones
470,52,Taekwondo
471,52,Otros
472,53,Accesorios para celulares
473,53,Basquetbol
474,53,Beisbol
475,53,Bocinas de aire para estadio
476,53,Electronica
477,53,Equipo para deporte
478,53,Futbol
479,53,Futbol Americano
480,53,Herramientas y mejoras del hogar
481,53,Hockey sobre Hielo
482,53,Joyeria y Relojes
483,53,Juguetes y Productos de Sala de Juegos
484,53,Memorabilia
485,53,"Patio, cesped y jardin"
486,53,Productos de oficina
487,53,Productos para el Hogar
488,53,Otros
489,54,Equipo para Competencias
490,54,Equipo para Lanzamientos
491,54,Equipo para Saltos
492,54,Equipo para la Pista
493,54,Tenis
494,54,Carritos para Equipos
495,54,Otros
496,55,Bolsas para Equipo
497,55,Gallitos
498,55,Juegos Completos
499,55,Raquetas
500,55,Redes
501,55,Otros
502,56,Accesorios de Cancha
503,56,Accesorios para Tablero
504,56,Balones
505,56,Bolsas para Equipo
506,56,Equipo de Entrenamiento
507,56,Equipo Protector
508,56,Mangas para tirador
509,56,Tableros
510,56,Tenis
511,56,Otros
512,57,Accesorios
513,57,Accesorios para Bates
514,57,Accesorios para Manoplas
515,57,Bates
516,57,Bolsas para Equipo
517,57,Equipo de Arbitros
518,57,Equipo de Entrenamiento
519,57,Equipo para el Campo
520,57,Equipo para Principiantes
521,57,Guantes de Bateo
522,57,Manoplas y Manoplas
523,57,Pelotas
524,57,Protecciones
525,57,Zapatos
526,57,Otros
527,58,Accesorios
528,58,Bolas de Billar
529,58,Estuches para Tacos
530,58,Fundas para Mesas de Billar
531,58,Tacos
532,58,Taqueras
533,58,Triangulos y Estantes para Bolas
534,58,Otros
535,59,Bolas
536,59,Bolsas
537,59,Guantes
538,59,Juegos de Boliche
539,59,Pinos
540,59,Protecciones
541,59,Pulidores para Bolas
542,59,Zapatos
543,59,Otros
544,60,Accesorios para Costales
545,60,Costales
546,60,Equipo de Gimnasio
547,60,Guantes
548,60,Juegos de Box
549,60,Paos de boxeo
550,60,Patas de oso
551,60,Protecciones
552,60,Otros
553,61,Accesorios para Mochilas
554,61,Accesorios para Tiendas de Campanha
555,61,Arrancadores de fuego
556,61,Bastones de Senderismo
557,61,Bolsas de Acampar
558,61,"Bolsas, paquetes y accesorios"
559,61,Calentadores de Pies y Manos
560,61,Cocina
561,61,Cuidado Personal
562,61,Equipo para Dormir de Campismo
563,61,GPS y Navegacion
564,61,Hidratacion
565,61,Luces y Lamparas
566,61,Mobiliario de Campismo
567,61,Mochilas y Bolsas
568,61,"Navajas, Cuchillos y Herramientas"
569,61,Seguridad y Supervivencia
570,61,Tiendas de Campanha
571,61,Tiendas Refugio
572,61,Otros
573,62,Accesorios
574,62,Bicicletas
575,62,Bicicletas Infantiles y Accesorios
576,62,Calzado
577,62,Cascos y Accesorios
578,62,Componentes y Refacciones
579,62,Herramientas y Equipo para Bicicleta
580,62,Lentes
581,62,Luces y Reflectores
582,62,Protecciones
583,62,Ropa
584,62,Otros
585,63,Canhas
586,63,Dardos
587,63,Dardos de Acero
588,63,Dardos de Plastico
589,63,Dianas
590,63,Gabinetes
591,63,Plumas
592,63,Puntas
593,63,Tableros
594,63,Otros
595,64,Buceo y Esnorquel
596,64,Canotaje
597,64,Esqui Acuatico y Deportes de Arrastre
598,64,Kayak
599,64,Kitesurf
600,64,Natacion
601,64,Nautica
602,64,Remo
603,64,Ropa
604,64,Surf
605,64,Surf a Vela
606,64,Surf de Remo
607,64,Vela
608,64,Wakeboard
609,64,Otros
610,65,Esqui
611,65,Hockey sobre Hielo
612,65,Motos de Nieve
613,65,Patinaje sobre Hielo
614,65,Patinetas para nieve
615,65,Snowboard
616,65,Snowboarding
617,65,Otros
618,66,Accesorios para el Caballo
619,66,Arreos
620,66,Cascos
621,66,Equipo para Dirigir al Caballo
622,66,Fuetes y Cuartas
623,66,Guantes de Equitacion
624,66,Protecciones
625,66,Otros
626,67,Accesorios
627,67,Accesorios para Maquinas de Acondicionamiento Fisico
628,67,Electronica
629,67,Entrenadores de Equilibrio
630,67,Entrenamiento de velocidad y agilidad
631,67,Equipo de Acondicionamiento Fisico Acuatico
632,67,Equipo de Desarrollo de Fuerza
633,67,Maquinas de Cardio
634,67,Pilates
635,67,Ropa
636,67,Yoga
637,67,Otros
638,68,Accesorios para Dispositivos
639,68,Altimetros
640,68,Brujulas
641,68,Camaras de Accion y Accesorios
642,68,Ciclocomputadoras
643,68,Cronometros
644,68,Dispositivos GPS
645,68,Estaciones Meteorologicas Portatiles
646,68,Monitores de Actividad
647,68,Podometros
648,68,Pulsometros
649,68,Telemetros de Golf
650,68,Velocimetros
651,68,Otros
652,69,Arneses
653,69,Bolsas de Magnesio
654,69,Cascos
655,69,Cuerdas y Correas
656,69,Guantes de Escalada
657,69,Herrajes para Escalada
658,69,Magnesio
659,69,Mosquetones
660,69,Pies de Gato
661,69,Presas de Escalada
662,69,Slacklines
663,69,Otros
664,70,Albumes de Tarjetas
665,70,Cajas para Tarjetas
666,70,Fundas para Tarjetas
667,70,Tornillos de Ajuste de Tarjetas
668,70,Vitrinas de objetos de recuerdo deportivos
669,70,Otros
670,71,Balones
671,71,Bolsas para Equipo
672,71,Bolsos y redes para pelotas
673,71,Equipo para Entrenar y Jugar
674,71,Espinilleras
675,71,Guantes de Portero
676,71,Porterias
677,71,Redes
678,71,otros
679,72,Balones
680,72,Bolsas para Equipo
681,72,Cascos
682,72,Cinturones de Banderines de Futbol
683,72,Equipo de Entrenamiento
684,72,Equipo de Proteccion
685,72,Guantes
686,72,Guantes de Receptor
687,72,Haches
688,72,Marcadores de Yardas
689,72,Ropa
690,72,Soportes y Tes para Patada
691,72,Uniformes
692,72,Zapatos
693,72,otros
694,73,Agarres de Mano
695,73,Bolsas para Equipo
696,73,Equipo de Competencia
697,73,Equipo de Entrenamiento
698,73,Magnesio
699,73,Ropa
700,73,Tapetes y Colchonetas
701,73,otros
702,74,Accesorios
703,74,Accesorios para Bolsas de Palos
704,74,Accesorios para Carritos de Golf
705,74,Accesorios para el Campo
706,74,Bolas
707,74,Bolsas de Palos
708,74,Calzado
709,74,Equipo de Entrenamiento
710,74,Guantes
711,74,Palos
712,74,Piezas para Palos
713,74,otros
714,75,Cilindros de Hule Espuma
715,75,Paramedico y Medicina Deportiva
716,75,Protectores Bucales
717,75,Suplementos para Deportistas
718,75,"Tirantes, Ferulas y Soportes"
719,75,Tratamientos de Frio y Calor
720,75,otros
721,76,Accesorios
722,76,Bolsas para Equipo
723,76,Cascos
724,76,Cera
725,76,Herramientas
726,76,Patinetas y Patinetas Giratorias
727,76,Piezas de Patinetas
728,76,Protecciones
729,76,Rampas y Rieles
730,76,otros
731,77,Cascos
732,77,Partes para Patines en Linea
733,77,Patines en Linea
734,77,Patines en Paralelo
735,77,Piezas para Patines en Paralelo
736,77,Protecciones
737,77,otros
738,78,Accesorios
739,78,Monopatines autoequilibrantes
740,78,Patines del Diablo
741,78,Piezas de Patines del Diablo
742,78,otros
743,79,Aparejos del Lider
744,79,Combos de Canha y Carrete
745,79,Patos
746,79,Pesca con Mosca
747,79,Pesca en Hielo
748,79,Sedales
749,79,Senhuelos y Moscas
750,79,Accesorios
751,79,Anzuelos y Accesorios
752,79,Aparejo y Accesorios de Terminal
753,79,Calzado
754,79,Carretes y accesorios
755,79,Herramientas
756,79,Varillas y accesorios
757,79,otros
758,80,Accesorios
759,80,Bolsas para Equipo
760,80,Gomas
761,80,Juegos de Ping Pong
762,80,Mesas
763,80,Pelotas
764,80,Raquetas
765,80,otros
766,81,Accesorios
767,81,Antivibradores
768,81,Bolsas para Equipo
769,81,Cordajes
770,81,Equipo de Entrenamiento
